bloc,source_publiee,modele,condition,metrique,valeur_publiee,valeur_recalculee,ecart,statut,cause
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,random_split,macro_f1,0.923900,0.932205,0.008305,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,random_split,roc_auc,0.983400,0.975926,-0.007474,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,group_shuffle,macro_f1,0.757200,0.752437,-0.004763,CONFIRMÉ,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,group_shuffle,roc_auc,0.929800,0.928174,-0.001626,CONFIRMÉ,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,logo,macro_f1,0.792800,0.809257,0.016457,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,RandomForest,logo,roc_auc,0.920400,0.924802,0.004402,CONFIRMÉ,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,random_split,macro_f1,0.949800,0.938102,-0.011698,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,random_split,roc_auc,0.982600,0.976728,-0.005872,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,group_shuffle,macro_f1,0.773900,0.696500,-0.077400,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,group_shuffle,roc_auc,0.881500,0.871438,-0.010062,ÉCART,C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,logo,macro_f1,0.735000,0.757334,0.022334,ÉCART,"C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  C2 : la moyenne LOGO publiée pour XGBoost porte sur 7 folds, contre 6 pour Random Forest et SVM — les essais mono-classe sont écartés par une exception, pas par une règle, donc le périmètre varie selon le modèle"
1 — stratégie de validation,reports/robustness_full_w60.json,XGBoost,logo,roc_auc,0.909500,0.897053,-0.012447,ÉCART,"C1 : robustness_check.py ajoute une imputation médiane aux modèles à arbres et fixe scale_pos_weight pour XGBoost ; le livrable les laisse en gestion native des NaN  +  C2 : la moyenne LOGO publiée pour XGBoost porte sur 7 folds, contre 6 pour Random Forest et SVM — les essais mono-classe sont écartés par une exception, pas par une règle, donc le périmètre varie selon le modèle"
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,random_split,macro_f1,0.912900,0.897228,-0.015672,ÉCART,la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,random_split,roc_auc,0.975200,0.969671,-0.005529,ÉCART,la valeur publiée est un split unique (graine 42) ; le livrable moyenne 10 répétitions — le split de graine 42 est conservé sous fold_id 0
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,group_shuffle,macro_f1,0.794400,0.794351,-0.000049,CONFIRMÉ,—
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,group_shuffle,roc_auc,0.901200,0.901226,0.000026,CONFIRMÉ,—
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,logo,macro_f1,0.805200,0.805223,0.000023,CONFIRMÉ,—
1 — stratégie de validation,reports/robustness_full_w60.json,SVM_RBF,logo,roc_auc,0.904100,0.904102,0.000002,CONFIRMÉ,—
2 — modèles × augmentation,reports/augmentation_eval.json,LogisticRegression,none,macro_f1,0.799000,0.798998,-0.000002,CONFIRMÉ,—
2 — modèles × augmentation,reports/augmentation_eval.json,LogisticRegression,pooled_global,macro_f1,0.860000,0.859647,-0.000353,CONFIRMÉ,—
2 — modèles × augmentation,"aucune (protocole corrigé, inédit)",LogisticRegression,fold_aware,macro_f1,,0.808821,,NOUVEAU,"C3 : pool synthétique regénéré par fold, sans ancrage sur l'essai de test"
2 — modèles × augmentation,reports/augmentation_eval.json,SVM_RBF,none,macro_f1,0.805000,0.805223,0.000223,CONFIRMÉ,—
2 — modèles × augmentation,reports/augmentation_eval.json,SVM_RBF,pooled_global,macro_f1,0.868000,0.868116,0.000116,CONFIRMÉ,—
2 — modèles × augmentation,"aucune (protocole corrigé, inédit)",SVM_RBF,fold_aware,macro_f1,,0.823613,,NOUVEAU,"C3 : pool synthétique regénéré par fold, sans ancrage sur l'essai de test"
2 — modèles × augmentation,reports/augmentation_eval.json,RandomForest,none,macro_f1,0.796000,0.809257,0.013257,ÉCART,"C1 : prétraitement des modèles à arbres (evaluate_augmentation.py standardise Random Forest, pas le livrable)"
2 — modèles × augmentation,reports/augmentation_eval.json,RandomForest,pooled_global,macro_f1,0.918000,0.918119,0.000119,CONFIRMÉ,—
2 — modèles × augmentation,"aucune (protocole corrigé, inédit)",RandomForest,fold_aware,macro_f1,,0.808505,,NOUVEAU,"C3 : pool synthétique regénéré par fold, sans ancrage sur l'essai de test"
3 — généralisation,reports/eval_consolidated_w60.json,RandomForest_w60_augmented (déployé),dataset continu simulé,roc_auc,0.753000,0.753463,0.000463,CONFIRMÉ,—
3 — généralisation,reports/eval_consolidated_w60.json,RandomForest_w60_augmented (déployé),dataset continu simulé,accuracy,0.742000,0.742167,0.000167,CONFIRMÉ,—
3 — généralisation,reports/eval_consolidated_w60.json,RandomForest_w60_augmented (déployé),dataset continu simulé,macro_f1,0.598000,0.598304,0.000304,CONFIRMÉ,—
3 — généralisation,reports/eval_consolidated_w60.json,RandomForest_w60_augmented (déployé),dataset continu simulé,unstable_recall,0.625000,0.625000,0.000000,CONFIRMÉ,—
